impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-113813,A574914,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932301,LOST,Ginger,Dog,,Female,Toy Poodle,Unknown,11/15/2018 12:00:00 AM,Date Lost,N.E. 103RD / 5TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932301,Image Copyright HLP Inc. 2018,,
K18-113829,A574930,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574930,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Gray / White,11/17/2018 12:00:00 AM,Received on,3200 S 137TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574930,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 3200 S 137TH ST, TUKWILA WA 98168<p/> Description: Gray / White Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113830,A574931,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574931,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Gray Tabby,11/17/2018 12:00:00 AM,Received on,3200 S 137TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574931,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 3200 S 137TH ST, TUKWILA WA 98168<p/> Description: Gray Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113831,A574932,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574932,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Male,Domestic Shorthair,Gray Tabby / White,11/17/2018 12:00:00 AM,Received on,32600 5TH AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574932,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 32600 5TH AVE, BLACK DIAMOND WA 98010<p/> Description: Gray Tabby / White Male Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113834,A549766,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A549766,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Anita,Cat,4 YEARS 4 MONTHS,Spayed Female,Domestic Longhair,Gray,11/17/2018 12:00:00 AM,Received on,19900 BALLINGER WAY NE,SHORELINE,WA,98155,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A549766,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 19900 BALLINGER WAY NE, SHORELINE WA 98155<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 4 YEARS 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113569,A574249,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574249,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sailor,Cat,6 MONTHS,Spayed Female,Domestic Shorthair,Tortie,11/06/2018 12:00:00 AM,Received on,3800 S 243RD ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574249,Image Copyright HLP Inc. 2018,"Received on: 2018-11-06<p/> Found Near: 3800 S 243RD ST, KENT WA 98032<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-112236,A569060,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A569060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scooby,Dog,8 YEARS 2 MONTHS,Neutered Male,Pit Bull,Fawn / White,09/18/2018 12:00:00 AM,Received on,16400 SE 392ND ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A569060,Image Copyright HLP Inc. 2018,"Received on: 2018-09-18<p/> Found Near: 16400 SE 392ND ST, AUBURN WA 98092<p/> Description: Fawn / White Neutered Male Pit Bull Dog<p/> Age: 8 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K18-112236,A569060,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A569060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scooby,Dog,8 YEARS 2 MONTHS,Neutered Male,Pit Bull,Fawn / White,09/18/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A569060,Image Copyright HLP Inc. 2018,"Received on: 2018-09-18<p/> Description: Fawn / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 8 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Scooby and I am available for adoption.<p/><p/>I was brought in by a good samaritan on September 18, 2018.<p/><p/>I'm a really cool dude with a big personality!  I LOVE LOVE LOVE Tennis Balls! They are the best part about life!  Food's pretty awesome too! I'm pretty friendly with everyone I meet, but I may do better with older kids because I am still working on my manners. I can easily be walked on leash near other dogs but I don't tend to be face to face meeting them. I'd prefer to be the only animal in the household so I can get all of your attention!<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/> Adoption Fee: $100.00<p/>",RED
K18-113736,A574714,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574714,Off Site Vet,Tiny,Dog,3 YEARS,Male,Labrador Retriever,Chocolate,11/13/2018 12:00:00 AM,Received on,16100 SE 352ND ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574714,Image Copyright HLP Inc. 2018,"Received on: 2018-11-13<p/> Found Near: 16100 SE 352ND ST, AUBURN WA 98092<p/> Description: Chocolate Male Labrador Retriever Dog<p/> Age: 3 YEARS<p/> Current Location: Off Site Vet<p/>",
K18-113656,A574511,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A574511,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cleo,Dog,5 YEARS,Spayed Female,Pit Bull / Boxer,Tan / White,11/09/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574511,Image Copyright HLP Inc. 2018,"Received on: 2018-11-09<p/> Description: Tan / White<p/>  Spayed Female Pit Bull / Boxer Dog<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cleo and I am available for adoption.<p/><p/>I was brought in by my previous owner on November 9th, 2018, because I did not get along with the other dog in the home. I lived in a home with a large dog and a 15 year old child. My previous owner described me as very affectionate, fearful and shy.<p/><p/>I am a shy gal who just needs to go to a home that will understand that I am scared of the world. I need to go to a home that has no other pets as I tend to like humans way more than dogs. I would also need a family that will understand that taking some time to get to know me and help me learn that the world is not a scary place and that I can be a confident dog, would be wonderful! I would also prefer a home that only has children that are dog savvy  and teenager +. Once you do get to know me you will get a sweet girl that just wants to snuggle + sleep in bed with you, binge watch netflix, snuggle up with you and a good book, and be your best friend! <p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/> Adoption Fee: $100.00<p/>",BLUE
