ID,Year,Country,Region,Artist,Song,Artist_gender,Group_Solo,Place,Points,Home_Away_Country,Home_Away_Region,Is_Final,Semi_Final_Number,Song_In_English,Song_Quality,Normalized_Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
1,2009,Lithuania,Former Socialist Bloc,Sasha Son ,Love,Male,Solo,23,23,Away,Home,1,NA,1,0.651052813,0.009441708,0.67825829,18.318.476,0.563170101,0.598360426,102.984,0.027817064,9,0.078643134,3,0,-9.082,0.482058644,6.148.232.323
2,2009,Israel,Independent,Noa and Mira Awad ,There Must Be Another Way,Female,Group,16,53,Away,Away,1,NA,1,132.362.701,0.021756979,0.79409327,17.987.873,0.068711032,0.60454201,105.972,0.024996099,8,0.084805072,4,1,-6.059,0.426208823,5.141.886.792
3,2009,France,Western Europe,Patricia Kaas ,Et s il fallait le faire,Female,Solo,8,107,Away,Away,1,NA,0,2.586.430.891,0.043924466,0.574627616,22.797.333,0.654077926,0.367344227,124.005,0.043750964,1,0.92390505,4,1,-8.655,0.292869794,5.069.761.905
4,2009,Sweden,Scandinavia,Malena Ernman ,La voix,Female,Solo,21,33,Away,Away,1,NA,1,0.864871628,0.013546798,0.672745987,1.784.566,0.119194331,0.513201684,128.021,0.034854566,10,0.143707679,4,1,-4.536,0.206492786,5.502.692.308
5,2009,Croatia,Former Yugoslavia,Igor Cukrov feat Andrea ,Lijepa Tena,Both,Group,18,45,Away,Away,1,NA,0,0.931013526,0.018472906,0.733959053,18.283.057,0.323643438,0.590591969,116.107,0.03240643,1,0.079321964,4,0,-4.427,0.344540864,NA
6,2009,Portugal,Western Europe,Flor de Lis ,Todas as ruas do amor,Both,Group,15,57,Away,Away,1,NA,0,1.394.271.929,0.023399015,0.60622164,25.346.567,0.266773886,0.575143884,96.966,0.042615816,7,0.113279984,4,1,-7.303,0.331690218,4.976
7,2009,Iceland,Scandinavia,Yohanna,Is It True ,Female,Solo,2,218,Away,Away,1,NA,1,5.223.042.076,0.089490969,0.648462298,18.208.762,0.120636218,0.260856113,83.978,0.03031156,0,0.100348165,4,0,-8.122,0.263601829,5.215.283.019
8,2009,Greece,Western Europe,Sakis Rouvas ,This Is Our Night,Male,Solo,7,120,Away,Away,1,NA,1,2.738.873.226,0.049261084,0.920414217,1.764.712,0.006192431,0.628107957,127.92,0.064254649,6,0.174562379,4,0,-6.166,0.677572773,NA
9,2009,Armenia,Former Socialist Bloc,Inga and Anush ,Jan Jan,Female,Group,10,92,Away,Home,1,NA,1,234.373.453,0.037766831,0.868097887,18.197.333,0.368220787,0.6917233,86.271,0.099743133,4,0.356401741,3,0,-4.061,0.736495475,NA
10,2009,Russia,Former Socialist Bloc,Anastasiya Prikhodko ,Mamo,Female,Solo,11,91,Home,Home,1,NA,0,1.960.978.858,0.037356322,0.948516275,17.056.762,0.652044475,0.631655337,130.059,0.063436447,2,0.186244662,4,0,-4.202,0.650372973,NA
11,2009,Azerbaijan,Former Socialist Bloc,AySel and Arash ,Always,Both,Group,3,207,Away,Home,1,NA,1,5.167.522.198,0.084975369,0.946863897,24.833.415,0.024535623,0.729727633,134.982,0.155644479,6,0.120697795,4,1,-4.292,0.818512237,5.732.191.781
12,2009,Bosnia and Herzegovina,Former Yugoslavia,Regina ,Bistra voda,Male,Group,9,106,Away,Away,1,NA,0,2.379.636.004,0.043513957,0.731082745,18.733.823,0.504779184,0.547075543,75.976,0.034288808,9,0.096095682,4,1,-5.615,0.192152631,5.115.454.545
13,2009,Moldova,Former Socialist Bloc,Nelly Ciobanu ,Hora din Moldova,Female,Solo,14,69,Away,Home,1,NA,1,1.630.134.149,0.028325123,0.881466737,17.735.946,0.019632612,0.350776624,92.836,0.060701125,6,0.078511309,4,0,-4.548,0.495054137,5.251.098.901
14,2009,Malta,Western Europe,Chiara ,What If We,Female,Solo,22,31,Away,Away,1,NA,1,0.705850576,0.01272578,0.37837442,18.180.027,0.048060838,0.528326096,123.937,0.031054934,1,0.062293113,4,1,-8.226,0.478698633,5.481.764.706
15,2009,Estonia,Former Socialist Bloc,Urban Symphony ,R ndajad,Female,Solo,6,129,Away,Home,1,NA,0,3.200.721.265,0.052955665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.567.272.727
16,2009,Denmark,Scandinavia,Niels Brinck ,Believe Again,Male,Solo,13,74,Away,Away,1,NA,1,1.888.866.907,0.030377668,0.827642825,18.739.048,0.021043807,0.555140576,120.01,0.042390813,2,0.058421732,4,1,-5.084,0.594089789,NA
17,2009,Germany,Western Europe,Alex Swings Oscar Sings  ,Miss Kiss Kiss Bang,Male,Solo,20,35,Away,Away,1,NA,1,0.976228195,0.014367816,0.892347857,18.240.109,0.001235036,0.694713273,135.962,0.078531445,5,0.403086011,4,1,-6.328,0.412281318,5.670.588.235
18,2009,Turkey,Independent,Hadise ,D m Tek Tek,Female,Solo,4,177,Away,Away,1,NA,1,427.828.614,0.072660099,0.793613278,18.534.168,0.574425736,0.831569185,114.982,0.036309979,10,0.062217512,4,1,-6.503,0.772847844,NA
